date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2024-01-06,Ivory Coast,Sierra Leone,5,1,Friendly,Ivory Coast,1645,1308,50,136
2024-01-06,Australia,Bahrain,2,0,Friendly,the United Arab Emirates,1788,1445,27,93
2024-01-06,Angola,DR Congo,0,0,Friendly,the United Arab Emirates,1387,1494,107,80
2024-01-07,Uzbekistan,Palestine,1,0,Friendly,Qatar,1647,1405,50,103
2024-01-07,Egypt,Tanzania,2,0,Friendly,Egypt,1686,1347,47,119
2024-01-08,Senegal,Niger,1,0,Friendly,Senegal,1732,1236,36,156
2024-01-08,Malaysia,Syria,2,2,Friendly,Qatar,1305,1418,137,100
2024-01-08,Guinea,Nigeria,2,0,Friendly,the United Arab Emirates,1444,1565,94,66
2024-01-08,Ghana,Namibia,0,0,Friendly,Ghana,1541,1384,69,109
2024-01-08,Botswana,Mozambique,1,1,Friendly,South Africa,1344,1363,123,117
2024-01-09,Palestine,Saudi Arabia,0,0,Friendly,Qatar,1410,1584,101,62
2024-01-09,Kyrgyzstan,Vietnam,2,1,Friendly,Qatar,1271,1379,148,110
2024-01-09,Japan,Jordan,6,1,Friendly,Qatar,1910,1513,13,75
2024-01-09,Iran,Indonesia,5,0,Friendly,Qatar,1830,1262,20,151
2024-01-09,Equatorial Guinea,Djibouti,1,1,Friendly,Equatorial Guinea,1505,921,76,197
2024-01-09,Cameroon,Zambia,1,1,Friendly,Saudi Arabia,1613,1491,58,82
2024-01-09,Algeria,Burundi,4,0,Friendly,Togo,1733,1284,36,145
2024-01-10,Tunisia,Cape Verde,2,0,Friendly,Tunisia,1733,1475,36,88
2024-01-10,South Africa,Lesotho,0,0,Friendly,South Africa,1478,1239,86,156
2024-01-10,Saudi Arabia,Hong Kong,2,0,Friendly,Qatar,1586,1081,62,175
2024-01-10,Burkina Faso,DR Congo,2,1,Friendly,the United Arab Emirates,1570,1486,64,83
2024-01-10,Angola,Bahrain,3,0,Friendly,the United Arab Emirates,1407,1425,103,98
2024-01-11,Morocco,Sierra Leone,3,1,Friendly,Ivory Coast,1847,1307,17,136
2024-01-12,Sweden,Estonia,2,1,Friendly,Cyprus,1694,1362,46,116
2024-01-12,Libya,Kuwait,3,1,Friendly,Egypt,1394,1355,107,117
2024-01-12,Qatar,Lebanon,3,0,Asian Cup,Qatar,1533,1297,70,142
2024-01-13,Syria,Uzbekistan,0,0,Asian Cup,Qatar,1432,1633,96,53
2024-01-13,China,Tajikistan,0,0,Asian Cup,Qatar,1430,1382,98,111
2024-01-13,Australia,India,2,0,Asian Cup,Qatar,1791,1259,26,152
2024-01-13,Ivory Coast,Guinea-Bissau,2,0,African Nations Cup,Ivory Coast,1654,1398,50,104
2024-01-13,Iceland,Guatemala,1,0,Friendly,the United States,1488,1484,82,85
2024-01-14,United Arab Emirates,Hong Kong,3,1,Asian Cup,Qatar,1524,1075,72,178
2024-01-14,Japan,Vietnam,4,2,Asian Cup,Qatar,1913,1376,13,113
2024-01-14,Iran,Palestine,4,1,Asian Cup,Qatar,1837,1403,18,103
2024-01-14,Equatorial Guinea,Nigeria,1,1,African Nations Cup,Ivory Coast,1509,1561,76,67
2024-01-14,Egypt,Mozambique,2,2,African Nations Cup,Ivory Coast,1668,1381,48,112
2024-01-14,Cape Verde,Ghana,2,1,African Nations Cup,Ivory Coast,1505,1511,77,75
2024-01-15,South Korea,Bahrain,3,1,Asian Cup,Qatar,1812,1417,22,101
2024-01-15,Jordan,Malaysia,4,0,Asian Cup,Qatar,1535,1283,69,145
2024-01-15,Iraq,Indonesia,3,1,Asian Cup,Qatar,1625,1253,55,154
2024-01-15,Senegal,Gambia,3,0,African Nations Cup,Ivory Coast,1743,1385,35,108
2024-01-15,Cameroon,Guinea,1,1,African Nations Cup,Ivory Coast,1602,1455,60,93
2024-01-15,Algeria,Angola,1,1,African Nations Cup,Ivory Coast,1715,1425,39,99
2024-01-16,Thailand,Kyrgyzstan,2,0,Asian Cup,Qatar,1409,1245,103,155
2024-01-16,Saudi Arabia,Oman,2,1,Asian Cup,Qatar,1610,1544,59,68
2024-01-16,Namibia,Tunisia,1,0,African Nations Cup,Ivory Coast,1428,1689,99,46
2024-01-16,Mali,South Africa,2,0,African Nations Cup,Ivory Coast,1643,1455,51,92
2024-01-16,Burkina Faso,Mauritania,1,0,African Nations Cup,Ivory Coast,1584,1384,63,110
2024-01-17,Qatar,Tajikistan,1,0,Asian Cup,Qatar,1543,1372,69,113
2024-01-17,China,Lebanon,0,0,Asian Cup,Qatar,1421,1306,101,136
2024-01-17,Morocco,Tanzania,3,0,African Nations Cup,Ivory Coast,1852,1342,16,123
2024-01-17,DR Congo,Zambia,1,1,African Nations Cup,Ivory Coast,1486,1491,84,82
2024-01-17,Iceland,Honduras,2,0,Friendly,the United States,1505,1514,77,74
2024-01-18,Uzbekistan,India,3,0,Asian Cup,Qatar,1642,1250,51,153
2024-01-18,Palestine,United Arab Emirates,1,1,Asian Cup,Qatar,1411,1516,103,75
2024-01-18,Australia,Syria,1,0,Asian Cup,Qatar,1797,1426,25,98
2024-01-18,Ivory Coast,Nigeria,0,1,African Nations Cup,Ivory Coast,1616,1599,57,63
2024-01-18,Equatorial Guinea,Guinea-Bissau,4,2,African Nations Cup,Ivory Coast,1535,1372,70,112
2024-01-18,Egypt,Ghana,2,2,African Nations Cup,Ivory Coast,1657,1522,49,73
2024-01-19,Uganda,Kuwait,2,0,Friendly,Egypt,1380,1340,109,124
2024-01-19,Iraq,Japan,2,1,Asian Cup,Qatar,1667,1871,48,15
2024-01-19,Iran,Hong Kong,1,0,Asian Cup,Qatar,1838,1074,18,178
2024-01-19,Indonesia,Vietnam,1,0,Asian Cup,Qatar,1286,1343,143,121
2024-01-19,Senegal,Cameroon,3,1,African Nations Cup,Ivory Coast,1766,1579,29,64
2024-01-19,Guinea,Gambia,1,0,African Nations Cup,Ivory Coast,1475,1365,88,113
2024-01-19,Cape Verde,Mozambique,3,0,African Nations Cup,Ivory Coast,1534,1352,72,115
2024-01-20,Jordan,South Korea,2,2,Asian Cup,Qatar,1552,1795,67,25
2024-01-20,Bahrain,Malaysia,1,0,Asian Cup,Qatar,1433,1267,97,148
2024-01-20,Mali,Tunisia,1,1,African Nations Cup,Ivory Coast,1646,1686,51,46
2024-01-20,Angola,Mauritania,3,2,African Nations Cup,Ivory Coast,1447,1362,94,113
2024-01-20,Algeria,Burkina Faso,2,2,African Nations Cup,Ivory Coast,1706,1593,40,63
2024-01-20,United States,Slovenia,0,1,Friendly,the United States,1760,1724,31,38
2024-01-21,Saudi Arabia,Kyrgyzstan,2,0,Asian Cup,Qatar,1618,1237,56,156
2024-01-21,Oman,Thailand,0,0,Asian Cup,Qatar,1535,1418,70,102
2024-01-21,Tanzania,Zambia,1,1,African Nations Cup,Ivory Coast,1352,1481,115,87
2024-01-21,South Africa,Namibia,4,0,African Nations Cup,Ivory Coast,1498,1385,81,107
2024-01-21,DR Congo,Morocco,1,1,African Nations Cup,Ivory Coast,1506,1832,78,20
2024-01-22,Tajikistan,Lebanon,2,1,Asian Cup,Qatar,1392,1286,106,142
2024-01-22,Qatar,China,1,0,Asian Cup,Qatar,1554,1410,67,103
2024-01-22,Nigeria,Guinea-Bissau,1,0,African Nations Cup,Ivory Coast,1610,1361,59,115
2024-01-22,Ivory Coast,Equatorial Guinea,0,4,African Nations Cup,Ivory Coast,1547,1604,70,61
2024-01-22,Ghana,Mozambique,2,2,African Nations Cup,Ivory Coast,1511,1363,77,112
2024-01-22,Cape Verde,Egypt,2,2,African Nations Cup,Ivory Coast,1542,1649,71,50
2024-01-23,Syria,India,1,0,Asian Cup,Qatar,1439,1237,96,155
2024-01-23,Palestine,Hong Kong,3,0,Asian Cup,Qatar,1422,1063,101,179
2024-01-23,Iran,United Arab Emirates,2,1,Asian Cup,Qatar,1845,1509,17,77
2024-01-23,Australia,Uzbekistan,1,1,Asian Cup,Qatar,1787,1652,27,50
2024-01-23,Senegal,Guinea,2,0,African Nations Cup,Ivory Coast,1778,1463,28,92
2024-01-23,Mauritania,Algeria,1,0,African Nations Cup,Ivory Coast,1406,1662,105,48
2024-01-23,Cameroon,Gambia,3,2,African Nations Cup,Ivory Coast,1590,1354,63,115
2024-01-23,Angola,Burkina Faso,2,0,African Nations Cup,Ivory Coast,1499,1541,81,71
2024-01-24,Japan,Indonesia,3,1,Asian Cup,Qatar,1873,1284,15,144
2024-01-24,Iraq,Vietnam,3,2,Asian Cup,Qatar,1674,1336,45,126
2024-01-24,South Africa,Tunisia,0,0,African Nations Cup,Ivory Coast,1510,1674,77,45
2024-01-24,Morocco,Zambia,1,0,African Nations Cup,Ivory Coast,1838,1475,18,89
2024-01-24,Mali,Namibia,0,0,African Nations Cup,Ivory Coast,1630,1401,55,106
2024-01-24,DR Congo,Tanzania,0,0,African Nations Cup,Ivory Coast,1496,1362,83,113
2024-01-25,Saudi Arabia,Thailand,0,0,Asian Cup,Qatar,1605,1431,60,100
2024-01-25,Malaysia,South Korea,3,3,Asian Cup,Qatar,1290,1772,141,28
2024-01-25,Kyrgyzstan,Oman,1,1,Asian Cup,Qatar,1254,1518,153,74
2024-01-25,Bahrain,Jordan,1,0,Asian Cup,Qatar,1466,1519,92,73
2024-01-27,Nigeria,Cameroon,2,0,African Nations Cup,Ivory Coast,1645,1555,52,65
2024-01-27,Angola,Namibia,3,0,African Nations Cup,Ivory Coast,1531,1369,71,111
2024-01-28,Tajikistan,United Arab Emirates,1,1,Asian Cup,Qatar,1400,1501,106,81
2024-01-28,Australia,Indonesia,4,0,Asian Cup,Qatar,1792,1279,25,146
2024-01-28,Guinea,Equatorial Guinea,1,0,African Nations Cup,Ivory Coast,1498,1569,83,63
2024-01-28,DR Congo,Egypt,1,1,African Nations Cup,Ivory Coast,1506,1639,79,53
2024-01-29,Qatar,Palestine,2,1,Asian Cup,Qatar,1564,1412,65,102
2024-01-29,Jordan,Iraq,3,2,Asian Cup,Qatar,1554,1639,69,52
2024-01-29,Ivory Coast,Senegal,1,1,African Nations Cup,Ivory Coast,1556,1769,67,28
2024-01-29,Cape Verde,Mauritania,1,0,African Nations Cup,Ivory Coast,1558,1390,66,107
2024-01-30,Uzbekistan,Thailand,2,1,Asian Cup,Qatar,1663,1420,47,101
2024-01-30,Saudi Arabia,South Korea,1,1,Asian Cup,Qatar,1616,1761,58,30
2024-01-30,South Africa,Morocco,2,0,African Nations Cup,Ivory Coast,1575,1773,63,26
2024-01-30,Mali,Burkina Faso,2,1,African Nations Cup,Ivory Coast,1649,1522,50,74
2024-01-31,Japan,Bahrain,3,1,Asian Cup,Qatar,1880,1459,15,94
2024-01-31,Iran,Syria,1,1,Asian Cup,Qatar,1824,1460,20,93
2024-02-02,South Korea,Australia,2,1,Asian Cup,Qatar,1788,1765,25,28
2024-02-02,Jordan,Tajikistan,1,0,Asian Cup,Qatar,1569,1385,64,108
2024-02-02,Nigeria,Angola,1,0,African Nations Cup,Ivory Coast,1662,1514,48,77
2024-02-02,DR Congo,Guinea,3,1,African Nations Cup,Ivory Coast,1543,1461,72,92
2024-02-02,Costa Rica,El Salvador,2,0,Friendly,Costa Rica,1582,1403,62,104
2024-02-03,Qatar,Uzbekistan,1,1,Asian Cup,Qatar,1564,1663,68,47
2024-02-03,Iran,Japan,2,1,Asian Cup,Qatar,1853,1851,15,16
2024-02-03,Ivory Coast,Mali,2,1,African Nations Cup,Ivory Coast,1580,1625,63,56
2024-02-03,Cape Verde,South Africa,0,0,African Nations Cup,Ivory Coast,1559,1574,69,64
2024-02-06,Jordan,South Korea,2,0,Asian Cup,Qatar,1627,1730,56,36
2024-02-07,Qatar,Iran,3,2,Asian Cup,Qatar,1601,1816,63,20
2024-02-07,Nigeria,South Africa,1,1,African Nations Cup,Ivory Coast,1656,1580,50,66
2024-02-07,Ivory Coast,DR Congo,1,0,African Nations Cup,Ivory Coast,1596,1527,64,72
2024-02-10,Qatar,Jordan,3,1,Asian Cup,Qatar,1631,1597,55,63
2024-02-10,DR Congo,South Africa,0,0,African Nations Cup,Ivory Coast,1531,1576,72,66
2024-02-11,Ivory Coast,Nigeria,2,1,African Nations Cup,Ivory Coast,1618,1634,58,54
2024-03-01,Trinidad and Tobago,Jamaica,0,1,Friendly,Trinidad and Tobago,1424,1625,99,57
2024-03-03,Trinidad and Tobago,Jamaica,0,0,Friendly,Trinidad and Tobago,1427,1622,99,58
2024-03-10,Bangladesh,Sudan,0,0,Friendly,Saudi Arabia,947,1313,193,133
2024-03-14,Sudan,Bangladesh,3,0,Friendly,Saudi Arabia,1317,943,133,193
2024-03-14,Kazakhstan,Turkmenistan,2,0,Friendly,the United Arab Emirates,1487,1216,86,159
2024-03-15,Malaysia,Nepal,5,1,Friendly,Malaysia,1292,900,141,200
2024-03-17,Sint Maarten,Anguilla,1,1,Friendly,Sint Maarten,870,555,203,236
2024-03-18,Solomon Islands,Fiji,2,1,Friendly,the Solomon Islands,1310,1198,135,162
2024-03-20,San Marino,Saint Kitts and Nevis,1,3,Friendly,San Marino,770,1085,212,175
2024-03-20,Bonaire,El Salvador,1,1,Friendly,the United States,841,1394,206,104
2024-03-20,Tonga,Samoa,1,4,Oceania Cup qualifier,Tonga,496,726,238,215
2024-03-20,Liberia,Djibouti,2,0,African Nations Cup qual,Morocco,1264,913,150,197
2024-03-20,Eswatini,Somalia,3,0,African Nations Cup qual,Morocco,1263,886,152,201
2024-03-21,Solomon Islands,Fiji,0,2,Friendly,the Solomon Islands,1287,1221,141,159
2024-03-21,Russia,Serbia,4,0,Friendly,Russia,1773,1786,25,24
2024-03-21,Portugal,Sweden,5,2,Friendly,Portugal,2035,1691,3,44
2024-03-21,Montenegro,Belarus,2,0,Friendly,Turkey,1561,1457,69,93
2024-03-21,Malta,Slovenia,2,2,Friendly,Malta,1257,1716,154,37
2024-03-21,Italy,Venezuela,2,1,Friendly,the United States,1942,1751,12,33
2024-03-21,Guinea,Vanuatu,6,0,FIFA Series,Saudi Arabia,1467,1073,91,177
2024-03-21,Ethiopia,Lesotho,1,2,Friendly,Ethiopia,1285,1253,143,155
2024-03-21,Ecuador,Guatemala,2,0,Friendly,the United States,1886,1481,13,86
2024-03-21,Cyprus,Latvia,1,1,Friendly,Cyprus,1320,1349,131,117
2024-03-21,Cape Verde,Guyana,1,0,FIFA Series,Saudi Arabia,1564,1268,67,148
2024-03-21,Belize,Puerto Rico,1,1,Friendly,Belize,1061,1147,179,165
2024-03-21,Andorra,South Africa,1,1,FIFA Series,Algeria,1115,1563,170,68
2024-03-21,United Arab Emirates,Yemen,2,1,World Cup & As Cup q,the United Arab Emirates,1503,1102,81,172
2024-03-21,Taiwan,Kyrgyzstan,0,2,World Cup & As Cup q,Taiwan,912,1267,198,149
2024-03-21,South Korea,Thailand,1,1,World Cup & As Cup q,South Korea,1713,1437,40,99
2024-03-21,Singapore,China,2,2,World Cup & As Cup q,Singapore,1128,1400,169,103
2024-03-21,Saudi Arabia,Tajikistan,1,0,World Cup & As Cup q,Saudi Arabia,1621,1380,57,108
2024-03-21,Qatar,Kuwait,3,0,World Cup & As Cup q,Qatar,1638,1333,53,126
2024-03-21,Palestine,Bangladesh,5,0,World Cup & As Cup q,Kuwait,1417,938,102,194
2024-03-21,Pakistan,Jordan,0,3,World Cup & As Cup q,Pakistan,830,1598,207,63
2024-03-21,Oman,Malaysia,2,0,World Cup & As Cup q,Oman,1526,1284,74,144
2024-03-21,Myanmar,Syria,1,1,World Cup & As Cup q,Myanmar,927,1443,196,96
2024-03-21,Japan,North Korea,1,0,World Cup & As Cup q,Japan,1852,1369,16,110
2024-03-21,Iraq,Philippines,1,0,World Cup & As Cup q,Iraq,1640,1052,51,182
2024-03-21,Iran,Turkmenistan,5,0,World Cup & As Cup q,Iran,1817,1215,21,161
2024-03-21,Indonesia,Vietnam,1,0,World Cup & As Cup q,Indonesia,1297,1318,139,132
2024-03-21,Hong Kong,Uzbekistan,0,2,World Cup & As Cup q,Hong Kong,1060,1666,180,47
2024-03-21,Bahrain,Nepal,5,0,World Cup & As Cup q,Bahrain,1461,898,92,200
2024-03-21,Australia,Lebanon,2,0,World Cup & As Cup q,Australia,1767,1284,29,144
2024-03-21,Afghanistan,India,0,0,World Cup & As Cup q,Saudi Arabia,1086,1228,175,158
2024-03-21,Lithuania,Gibraltar,1,0,European Nations League C,Portugal,1326,1050,128,183
2024-03-21,Wales,Finland,4,1,European Champ qual,Wales,1715,1621,38,57
2024-03-21,Poland,Estonia,5,1,European Champ qual,Poland,1714,1357,39,115
2024-03-21,Iceland,Israel,4,1,European Champ qual,Hungary,1550,1557,72,70
2024-03-21,Greece,Kazakhstan,5,0,European Champ qual,Greece,1738,1477,35,88
2024-03-21,Georgia,Luxembourg,2,0,European Champ qual,Georgia,1650,1507,50,80
2024-03-21,Bosnia and Herzegovina,Ukraine,1,2,European Champ qual,Bosnia and Herzegovina,1478,1857,87,15
2024-03-21,United States,Jamaica,3,1,CONCACAF Nat League,the United States,1772,1610,27,61
2024-03-21,Mexico,Panama,3,0,CONCACAF Nat League,the United States,1826,1733,19,36
2024-03-22,Togo,Niger,2,1,Friendly,Morocco,1392,1230,106,156
2024-03-22,Sudan,Guinea-Bissau,1,0,Friendly,Morocco,1328,1350,128,116
2024-03-22,Sri Lanka,Papua New Guinea,0,0,FIFA Series,Sri Lanka,700,1096,217,172
2024-03-22,Senegal,Gabon,3,0,Friendly,France,1774,1434,26,99
2024-03-22,Romania,Northern Ireland,1,1,Friendly,Romania,1667,1498,47,83
2024-03-22,Peru,Nicaragua,2,0,Friendly,Peru,1744,1330,33,127
2024-03-22,Norway,Czechia,1,2,Friendly,Norway,1742,1769,34,29
2024-03-22,Nigeria,Ghana,2,1,Friendly,Morocco,1641,1504,52,81
2024-03-22,Netherlands,Scotland,4,0,Friendly,the Netherlands,1977,1793,10,22
2024-03-22,Morocco,Angola,1,0,Friendly,Morocco,1775,1512,25,77
2024-03-22,Moldova,North Macedonia,1,1,Friendly,Turkey,1344,1561,121,68
2024-03-22,Mali,Mauritania,2,0,Friendly,Morocco,1631,1384,55,107
2024-03-22,Madagascar,Burundi,1,0,Friendly tournament,Madagascar,1321,1274,131,147
2024-03-22,Libya,Burkina Faso,2,1,Friendly,Morocco,1408,1508,103,79
2024-03-22,Hungary,Turkey,1,0,Friendly,Hungary,1839,1759,17,31
2024-03-22,Faroe Islands,Liechtenstein,4,0,Friendly,Spain,1269,950,148,192
2024-03-22,Equatorial Guinea,Cambodia,2,0,FIFA Series,Saudi Arabia,1570,847,65,205
2024-03-22,Egypt,New Zealand,1,0,FIFA Series and Capital Cup,Egypt,1646,1518,51,75
2024-03-22,Comoros,Uganda,4,0,Friendly,Morocco,1297,1356,139,113
2024-03-22,Colombia,Spain,1,0,Friendly,England,1995,2022,8,4
2024-03-22,Chile,Albania,3,0,Friendly,Italy,1714,1617,39,59
2024-03-22,Central African Republic,Bhutan,6,0,FIFA Series,Sri Lanka,1303,622,137,229
2024-03-22,Bulgaria,Tanzania,1,0,FIFA Series,Azerbaijan,1468,1351,90,115
2024-03-22,Botswana,Rwanda,0,0,Friendly tournament,Madagascar,1342,1306,122,136
2024-03-22,Bermuda,Brunei,2,0,FIFA Series,Saudi Arabia,1149,596,165,232
2024-03-22,Azerbaijan,Mongolia,1,0,FIFA Series,Azerbaijan,1497,794,84,210
2024-03-22,Armenia,Kosovo,0,1,Friendly,Armenia,1457,1512,93,77
2024-03-22,Argentina,El Salvador,3,0,Friendly,the United States,2139,1394,1,105
2024-03-22,Algeria,Bolivia,3,2,FIFA Series,Algeria,1671,1602,46,62
2024-03-22,Sao Tome and Principe,South Sudan,1,1,African Nations Cup qual,Morocco,1059,1139,181,167
2024-03-22,Chad,Mauritius,1,0,African Nations Cup qual,Cameroon,1169,1029,164,184
2024-03-22,US Virgin Islands,British Virgin Islands,1,1,World Cup qualifier,the US VirgIslands,610,661,231,227
2024-03-22,Anguilla,Turks and Caicos Islands,0,0,World Cup qualifier,Anguilla,558,698,236,220
2024-03-23,Zambia,Zimbabwe,2,2,Friendly tournament,Malawi,1469,1340,89,123
2024-03-23,Slovakia,Austria,0,2,Friendly,Slovakia,1649,1847,50,17
2024-03-23,Malawi,Kenya,0,4,Friendly tournament,Malawi,1312,1382,134,108
2024-03-23,Ireland,Belgium,0,0,Friendly,Ireland,1615,1983,59,9
2024-03-23,French Guiana,Haiti,1,1,Friendly,French Guiana,1289,1493,142,84
2024-03-23,France,Germany,0,2,Friendly,France,2083,1911,2,13
2024-03-23,England,Brazil,0,1,Friendly,England,2001,2024,7,4
2024-03-23,Dominican Republic,Aruba,2,0,Friendly,the Dominican Republic,1209,997,162,189
2024-03-23,Denmark,Switzerland,0,0,Friendly,Denmark,1821,1795,20,22
2024-03-23,Croatia,Tunisia,0,0,FIFA Series and Capital Cup,Egypt,1941,1684,12,45
2024-03-23,Benin,Ivory Coast,2,2,Friendly,France,1348,1611,119,60
2024-03-23,Samoa,Cook Islands,1,0,Oceania Cup qualifier,Tonga,744,668,215,224
2024-03-23,Costa Rica,Honduras,3,1,Copa America qualifier,the United States,1606,1490,62,85
2024-03-23,Canada,Trinidad and Tobago,2,0,Copa America qualifier,the United States,1715,1417,38,101
2024-03-24,San Marino,Saint Kitts and Nevis,0,0,Friendly,San Marino,776,1079,212,176
2024-03-24,Martinique,Suriname,1,1,Friendly,the Netherlands,1438,1307,97,135
2024-03-24,Italy,Ecuador,2,0,Friendly,the United States,1955,1873,11,14
2024-03-24,Guatemala,Venezuela,0,0,Friendly,the United States,1488,1744,86,32
2024-03-24,Ethiopia,Lesotho,2,1,Friendly,Ethiopia,1291,1247,141,155
2024-03-24,Belize,Puerto Rico,3,0,Friendly,Belize,1078,1130,177,168
2024-03-24,Jamaica,Panama,1,0,CONCACAF Nat League,the United States,1637,1706,55,42
2024-03-25,Tanzania,Mongolia,3,0,FIFA Series,Azerbaijan,1353,792,117,210
2024-03-25,Sweden,Albania,1,0,Friendly,Sweden,1696,1612,44,60
2024-03-25,Sri Lanka,Bhutan,2,0,FIFA Series,Sri Lanka,712,610,217,230
2024-03-25,Montenegro,North Macedonia,1,0,Friendly,Turkey,1571,1551,66,71
2024-03-25,Madagascar,Rwanda,0,2,Friendly tournament,Madagascar,1291,1336,140,125
2024-03-25,Guinea-Bissau,Sudan,2,1,Friendly,Morocco,1359,1319,113,131
2024-03-25,Guinea,Bermuda,5,1,FIFA Series,Saudi Arabia,1475,1141,89,165
2024-03-25,Cyprus,Serbia,0,1,Friendly,Cyprus,1318,1788,132,25
2024-03-25,Congo,Gabon,1,1,Friendly,France,1271,1430,148,99
2024-03-25,Central African Republic,Papua New Guinea,4,0,FIFA Series,Sri Lanka,1316,1083,134,175
2024-03-25,Cape Verde,Equatorial Guinea,1,0,FIFA Series,Saudi Arabia,1579,1555,65,69
2024-03-25,Botswana,Burundi,0,0,Friendly tournament,Madagascar,1339,1277,123,147
2024-03-25,Bolivia,Andorra,1,0,FIFA Series,Algeria,1604,1113,63,170
2024-03-25,Azerbaijan,Bulgaria,1,1,FIFA Series,Azerbaijan,1492,1473,84,90
2024-03-25,Angola,Comoros,0,0,Friendly,Morocco,1506,1303,79,138
2024-03-26,Spain,Brazil,3,3,Friendly,Spain,2019,2027,4,3
2024-03-26,Slovenia,Portugal,2,0,Friendly,Slovenia,1739,2012,34,5
2024-03-26,Senegal,Benin,1,0,Friendly,France,1776,1346,25,118
2024-03-26,Scotland,Northern Ireland,0,1,Friendly,Scotland,1775,1516,26,76
2024-03-26,Peru,Dominican Republic,4,1,Friendly,Peru,1745,1208,32,161
2024-03-26,Norway,Slovakia,1,1,Friendly,Norway,1737,1654,36,49
2024-03-26,Nicaragua,Cuba,0,1,Friendly,Nicaragua,1316,1304,133,137
2024-03-26,New Zealand,Tunisia,0,0,FIFA Series and Capital Cup,Egypt,1525,1677,75,45
2024-03-26,Morocco,Mauritania,0,0,Friendly,Morocco,1766,1393,30,107
2024-03-26,Moldova,Cayman Islands,4,0,Friendly,Turkey,1346,798,118,209
2024-03-26,Malta,Belarus,0,0,Friendly,Malta,1260,1454,152,95
2024-03-26,Mali,Nigeria,2,0,Friendly,Morocco,1646,1626,52,57
2024-03-26,Malawi,Zambia,1,2,Friendly tournament,Malawi,1299,1482,139,87
2024-03-26,Luxembourg,Kazakhstan,2,1,Friendly,Luxembourg,1513,1471,77,91
2024-03-26,Libya,Togo,1,1,Friendly,Morocco,1408,1392,103,108
2024-03-26,Latvia,Liechtenstein,1,1,Friendly,Cyprus,1341,958,122,191
2024-03-26,Kenya,Zimbabwe,3,1,Friendly tournament,Malawi,1402,1320,105,130
2024-03-26,Ivory Coast,Uruguay,2,1,Friendly,France,1629,1988,56,8
2024-03-26,Ireland,Switzerland,0,1,Friendly,Ireland,1607,1803,61,21
2024-03-26,Hungary,Kosovo,2,0,Friendly,Hungary,1841,1510,18,78
2024-03-26,Guyana,Cambodia,4,1,FIFA Series,Saudi Arabia,1272,843,146,205
2024-03-26,Ghana,Uganda,2,2,Friendly,Morocco,1500,1360,82,113
2024-03-26,Germany,Netherlands,2,1,Friendly,Germany,1920,1968,13,10
2024-03-26,France,Chile,3,2,Friendly,France,2084,1713,2,40
2024-03-26,Finland,Estonia,2,1,Friendly,Finland,1623,1355,58,115
2024-03-26,England,Belgium,2,2,Friendly,England,1998,1986,6,9
2024-03-26,El Salvador,Honduras,1,1,Friendly,the United States,1397,1487,106,86
2024-03-26,Egypt,Croatia,2,4,FIFA Series and Capital Cup,Egypt,1635,1952,55,12
2024-03-26,Denmark,Faroe Islands,2,0,Friendly,Denmark,1822,1268,19,150
2024-03-26,Czechia,Armenia,2,1,Friendly,Czechia,1771,1455,28,94
2024-03-26,Colombia,Romania,3,2,Friendly,Spain,1998,1664,6,47
2024-03-26,Burkina Faso,Niger,1,1,Friendly,Morocco,1501,1237,81,156
2024-03-26,Brunei,Vanuatu,3,2,FIFA Series,Saudi Arabia,624,1045,229,183
2024-03-26,Austria,Turkey,6,1,Friendly,Austria,1857,1749,16,31
2024-03-26,Argentina,Costa Rica,3,1,Friendly,the United States,2140,1605,1,62
2024-03-26,Algeria,South Africa,3,3,FIFA Series,Algeria,1663,1571,48,66
2024-03-26,Tonga,Cook Islands,0,1,Oceania Cup qualifier,Tonga,480,684,239,222
2024-03-26,Sao Tome and Principe,South Sudan,0,0,African Nations Cup qual,Morocco,1064,1134,179,167
2024-03-26,Mauritius,Chad,1,2,African Nations Cup qual,Mauritius,1011,1187,185,163
2024-03-26,Liberia,Djibouti,0,0,African Nations Cup qual,Liberia,1247,930,153,196
2024-03-26,Eswatini,Somalia,2,2,African Nations Cup qual,South Africa,1247,902,153,200
2024-03-26,Lithuania,Gibraltar,1,0,European Nations League C,Lithuania,1330,1046,126,182
2024-03-26,Wales,Poland,0,0,European Champ qual,Wales,1709,1720,41,38
2024-03-26,Ukraine,Iceland,2,1,European Champ qual,Poland,1863,1544,15,72
2024-03-26,Georgia,Greece,0,0,European Champ qual,Georgia,1649,1739,50,34
2024-03-26,Vietnam,Indonesia,0,3,World Cup & As Cup q,Vietnam,1271,1344,148,121
2024-03-26,Uzbekistan,Hong Kong,3,0,World Cup & As Cup q,Uzbekistan,1667,1059,46,180
2024-03-26,United Arab Emirates,Yemen,3,0,World Cup & As Cup q,Saudi Arabia,1509,1096,79,172
2024-03-26,Turkmenistan,Iran,0,1,World Cup & As Cup q,Turkmenistan,1213,1819,160,20
2024-03-26,Thailand,South Korea,0,3,World Cup & As Cup q,Thailand,1418,1732,101,37
2024-03-26,Tajikistan,Saudi Arabia,1,1,World Cup & As Cup q,Tajikistan,1388,1613,109,59
