date,home_team,away_team,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2026-07-09,France,Morocco,World Cup,the United States,2143,1921,3,12
2026-07-10,Belgium,Spain,World Cup,the United States,1961,2177,10,1
2026-07-11,Argentina,Switzerland,World Cup,the United States,2156,1949,2,11
2026-07-11,England,Norway,World Cup,the United States,2076,1972,4,8
