date,team_h,team_a,score_h,score_a,forecast,proba_p1,proba_x,proba_p2,odds_p1,odds_x,odds_p2,success
26.06.26,Iraq,Senegal,0,5,2,0.046,0.338,0.617,13.00,7.00,1.20,+
26.06.26,Spain,Uruguay,1,0,0,0.538,0.410,0.051,1.67,3.50,5.75,+
27.06.26,Algeria,Austria,3,3,1,0.164,0.491,0.345,3.50,2.05,3.50,+
27.06.26,Argentina,Jordan,3,1,0,0.746,0.240,0.014,1.13,9.00,19.00,+
27.06.26,Colombia,Portugal,0,0,1,0.220,0.523,0.257,3.30,3.80,2.05,+
27.06.26,Croatia,Ghana,2,1,0,0.796,0.193,0.011,1.8,3.10,5.75,+
27.06.26,DR Congo,Uzbekistan,3,1,1,0.177,0.492,0.331,1.73,3.70,5.00,-
27.06.26,England,Panama,2,0,0,0.602,0.357,0.041,1.14,8.50,17.00,+
28.06.26,Canada,South Africa,1,0,0,0.520,0.401,0.079,1.83,3.40,4.75,+
29.06.26,Brazil,Japan,2,1,1,0.347,0.507,0.146,1.75,3.50,5.00,-
29.06.26,Germany,Paraguay,1,1,1,0.373,0.490,0.136,1.33,5.00,9.50,+
29.06.26,Morocco,Netherlands,1,1,1,0.140,0.482,0.378,3.40,3.10,2.30,+
30.06.26,France,Sweden,3,0,0,0.688,0.291,0.021,1.25,6.00,11.00,+
30.06.26,Ivory Coast,Norway,1,2,2,0.091,0.432,0.477,3.60,3.40,2.10,+
30.06.26,Mexico,Ecuador,2,0,1,0.253,0.518,0.229,2.20,2.90,3.90,-
01.07.26,DR Congo,England,1,2,2,0.030,0.283,0.687,13.00,5.25,1.30,+
01.07.26,United States,Bosnia/Herzegovina,2,0,0,0.490,0.421,0.088,1.35,5.00,8.00,+
01.07.26,Belgium,Senegal,2,2,1,0.295,0.513,0.192,2.10,3.25,3.75,+
02.07.26,Croatia,Portugal,1,2,1,0.153,0.492,0.354,5.0,3.80,1.67,-
02.07.26,Algeria,Switzerland,0,2,1,0.125,0.467,0.408,2.00,3.25,2.00,-
02.07.26,Austria,Spain,0,3,2,0.035,0.295,0.670,11.00,5.25,1.30,+
03.07.26,Argentina,Cape Verde,2,2,0,0.826,0.168,0.006,1.14,8.00,19.00,-
03.07.26,Australia,Egypt,1,1,1,0.333,0.496,0.171,3.30,2.90,2.45,+
03.07.26,Colombia,Ghana,1,0,0,0.779,0.209,0.012,1.50,4.00,7.50,+
04.07.26,France,Paraguay,1,0,0,0.615,0.352,0.033,1.18,6.50,17.00,+
04.07.26,Moroco,Canada,3,0,0,0.502,0.423,0.075,1.80,3.25,5.25,+
05.07.26,Brazil,Norway,1,2,1,0.338,0.512,0.150,1.75,3.7,4.75,-
05.07.26,Mexico,England,2,3,1,0.137,0.480,0.382,3.00,3.00,2.60,-
06.07.26,Portugal,Spain,0,1,2,0.101,0.443,0.457,4.00,3.50,1.95,+
06.07.26,United States,Belgium,1,4,1,0.138,0.477,0.385,2.50,3.40,2.75,-
07.07.26,Argentina,Egypt,3,2,0,0.702,0.280,0.018,1.38,4.75,8.50,+
07.07.26,Colombia,Switzerland,0,0,1,0.300,0.522,0.178,2.30,3.00,3.40,+
09.07.26,France,Morocco,2,0,0,0.473,0.453,0.073,1.60,3.80,6.00,+
10.07.26,Belgium,Spain,1,2,2,0.065,0.380,0.555,5.25,3.90,1.65,+
11.07.26,Argentina,Switzerland,1,1,1,0.453,0.466,0.082,1.70,3.60,5.25,+
11.07.26,England,Norway,1,1,1,0.336,0.516,0.149,1.85,3.70,4.10,+
14.07.26,France,Spain,0,2,1,0.176,0.515,0.309,2.6,2.9,3.10,-
15.07.26,Argentina,England,2,1,1,0.287,0.530,0.182,3.10,2.88,2.63,-
