date,home_team,away_team,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2026-07-04,France,Paraguay,World Cup,the United States,2143,1814,3,24
2026-07-04,Moroco,Canada,World Cup,the United States,1921,1729,12,38
2026-07-05,Brazil,Norway,World Cup,the United States,2031,1934,5,11
2026-07-05,Mexico,England,World Cup,Mexico,1943,2046,9,4
2026-07-06,Portugal,Spain,World Cup,the United States,2013,2159,6,1
2026-07-06,United States,Belgium,World Cup,the United States,1798,1910,25,13
2026-07-07,Argentina,Egypt,World Cup,the United States,2151,1747,2,32
2026-07-07,Colombia,Switzerland,World Cup,Canada,2009,1943,7,9
2026-07-09,France,Morocco,World Cup,the United States,2143,1921,3,12
