home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank,home_market_value,away_market_value,prev_N_pts_H,prev_N_pts_A,result
1745,1623,33,54,504000000.0,199050000.0,3.0,3.0,1
2007,1334,7,122,1310000000.0,19100000.0,3.0,0.0,1
1625,1404,53,107,86900000.0,14000000.0,6.0,1.0,1
1983,1420,8,98,558200000.0,7000000.0,1.0,1.0,1
1253,1557,151,67,14750000.0,38680000.0,0.0,0.0,2
1220,1160,155,165,5200000.0,0.0,3.0,0.0,1
1278,1084,144,178,450000.0,585000.0,3.0,0.0,1
1978,1742,8,34,357300000.0,522700000.0,4.0,3.0,2
2017,1816,5,24,1310000000.0,207830000.0,6.0,6.0,1
1135,1300,169,137,250000.0,12600000.0,6.0,3.0,1
1130,809,172,208,575000.0,325000.0,0.0,0.0,1
896,911,200,198,950000.0,7740000.0,3.0,0.0,0
2159,1703,1,42,761200000.0,134450000.0,3.0,0.0,1
1739,1797,35,27,72700000.0,28900000.0,1.0,1.0,1
2089,1729,3,37,908700000.0,62780000.0,3.0,0.0,0
1416,1629,102,53,14000000.0,97200000.0,3.0,2.0,0
1657,1748,49,33,81750000.0,179080000.0,6.0,3.0,1
658,979,226,190,0.0,0.0,3.0,3.0,0
1248,1729,152,37,4950000.0,214000000.0,0.0,0.0,2
1115,1491,174,82,3340000.0,114280000.0,1.0,0.0,2
1107,1591,175,62,1750000.0,53850000.0,2.0,1.0,2
1305,1477,135,87,2100000.0,16300000.0,4.0,0.0,0
1939,1914,11,12,300500000.0,362450000.0,3.0,0.0,0
1356,1470,116,88,17530000.0,40380000.0,0.0,4.0,1
1585,1879,64,15,19280000.0,366730000.0,0.0,0.0,2
1489,1508,83,77,74000000.0,32900000.0,3.0,3.0,0
2023,1611,4,60,968500000.0,130550000.0,6.0,6.0,1
960,1540,192,71,600000.0,133400000.0,0.0,0.0,2
1613,1722,59,39,144080000.0,315600000.0,3.0,0.0,2
1434,1501,96,79,10100000.0,5400000.0,6.0,1.0,1
1052,1276,182,145,0.0,125000.0,6.0,1.0,2
1438,1410,94,104,3830000.0,6960000.0,12.0,1.0,1
1307,1709,135,43,28680000.0,32400000.0,1.0,3.0,2
1805,1999,26,7,258300000.0,558200000.0,3.0,6.0,2
1956,1252,9,151,833500000.0,14750000.0,3.0,0.0,1
1841,1547,19,70,288200000.0,38680000.0,3.0,3.0,1
1463,778,89,212,79880000.0,1120000.0,0.0,0.0,1
1858,1817,18,23,210800000.0,296500000.0,3.0,4.0,1
1429,1319,96,128,29750000.0,18550000.0,1.0,0.0,2
1233,1140,155,166,1500000.0,1180000.0,3.0,3.0,1
1700,1662,45,48,143850000.0,41700000.0,4.0,3.0,1
807,1067,208,179,0.0,650000.0,0.0,0.0,2
1871,1451,16,92,368000000.0,17700000.0,6.0,3.0,1
1745,2028,33,4,504000000.0,1310000000.0,6.0,4.0,2
1705,1947,44,10,199050000.0,357300000.0,0.0,6.0,1
1746,1352,32,116,522700000.0,17530000.0,4.0,0.0,1
1844,1434,18,95,317600000.0,14000000.0,4.0,1.0,0
1631,1113,53,173,97200000.0,3340000.0,4.0,0.0,1
1711,1329,42,125,214000000.0,10530000.0,3.0,3.0,0
1636,1316,50,130,199050000.0,19100000.0,0.0,0.0,1
1093,846,177,206,575000.0,325000.0,3.0,0.0,2
1311,1124,134,171,12600000.0,250000.0,9.0,0.0,1
1303,1095,138,176,37650000.0,1750000.0,1.0,0.0,1
1607,1496,61,79,53850000.0,56830000.0,13.0,3.0,1
1490,1292,83,143,16300000.0,2100000.0,7.0,0.0,1
1749,1247,31,152,179080000.0,4950000.0,1.0,0.0,1
1709,1967,42,8,315600000.0,766000000.0,6.0,3.0,2
1488,1631,84,52,32900000.0,130550000.0,6.0,6.0,2
1491,958,80,192,74000000.0,600000.0,4.0,0.0,1
1532,2031,72,4,133400000.0,968500000.0,3.0,6.0,2
1448,1813,92,25,16230000.0,258300000.0,1.0,4.0,2
1330,976,125,189,2580000.0,375000.0,3.0,3.0,1
1221,970,156,191,18030000.0,200000.0,3.0,0.0,1
1983,1738,7,36,558200000.0,435380000.0,4.0,3.0,0
1719,1491,38,79,32400000.0,5400000.0,12.0,1.0,1
1406,1442,103,93,6960000.0,3830000.0,1.0,0.0,0
1339,1402,123,105,28680000.0,10100000.0,1.0,3.0,1
1755,1713,30,40,62780000.0,72700000.0,3.0,0.0,1
1950,2053,9,3,362450000.0,908700000.0,3.0,3.0,1
1786,2170,27,1,28900000.0,761200000.0,0.0,3.0,2
1712,1576,41,63,134450000.0,19280000.0,1.0,0.0,1
2030,1939,5,12,1620000000.0,833500000.0,4.0,4.0,1
933,611,194,231,1920000.0,925000.0,3.0,0.0,1
1283,1364,146,115,7130000.0,7700000.0,3.0,1.0,2
1051,823,183,208,650000.0,0.0,0.0,0.0,0
1161,1077,164,178,375000.0,375000.0,4.0,3.0,0
813,627,209,229,0.0,0.0,0.0,0.0,1
778,1871,212,16,1120000.0,368000000.0,0.0,4.0,2
1249,1844,152,17,14750000.0,288200000.0,0.0,4.0,2
1451,1712,91,41,79880000.0,143850000.0,3.0,3.0,2
1824,1546,23,69,296500000.0,60130000.0,0.0,1.0,1
1877,1941,15,11,366730000.0,300500000.0,3.0,1.0,0
1336,1841,124,19,18550000.0,210800000.0,2.0,4.0,0
925,882,196,202,7740000.0,950000.0,6.0,0.0,1
1628,1485,53,85,41700000.0,17700000.0,6.0,3.0,2
1255,1118,150,171,1500000.0,1180000.0,6.0,3.0,1
1513,1603,76,61,114280000.0,86900000.0,2.0,1.0,1
1502,1368,78,114,12050000.0,2080000.0,3.0,2.0,1
1261,1321,149,130,6800000.0,7100000.0,1.0,1.0,0
1313,1318,134,131,2780000.0,13430000.0,1.0,0.0,0
1615,1832,60,21,86900000.0,317600000.0,9.0,4.0,0
1464,1397,89,107,53430000.0,52200000.0,3.0,0.0,0
1322,1366,129,113,3080000.0,30100000.0,8.0,4.0,2
1300,1409,138,101,12450000.0,72280000.0,3.0,1.0,1
1588,1754,63,31,18700000.0,32400000.0,4.0,6.0,2
1600,1235,62,154,218080000.0,675000.0,6.0,0.0,0
1511,1090,77,175,17930000.0,325000.0,3.0,3.0,1
1357,1285,116,147,4350000.0,4800000.0,9.0,0.0,2
2118,2002,2,7,761200000.0,362450000.0,6.0,1.0,2
1089,1128,176,170,575000.0,250000.0,3.0,0.0,0
1439,1827,94,22,29750000.0,210800000.0,1.0,5.0,0
1780,925,28,196,51330000.0,7740000.0,3.0,1.0,1
1643,1479,49,88,130550000.0,74000000.0,3.0,0.0,1
1555,1327,67,127,60130000.0,18550000.0,4.0,3.0,1
1517,1503,74,78,32900000.0,133400000.0,6.0,3.0,1
958,2031,192,4,600000.0,968500000.0,0.0,9.0,2
1640,1809,50,25,199050000.0,207830000.0,3.0,6.0,0
1314,2030,134,5,19100000.0,1310000000.0,0.0,7.0,2
1370,1821,110,23,7000000.0,258300000.0,0.0,7.0,2
1832,1064,20,179,34680000.0,3600000.0,3.0,0.0,1
613,988,230,188,0.0,125000.0,1.0,3.0,2
658,988,227,188,0.0,0.0,4.0,4.0,2
1756,1876,29,15,62780000.0,366730000.0,6.0,3.0,0
1808,1398,26,106,356700000.0,10100000.0,8.0,3.0,1
1962,2032,10,3,300500000.0,908700000.0,4.0,3.0,1
1707,1718,44,38,72700000.0,134450000.0,4.0,0.0,0
1615,1747,58,33,19280000.0,28900000.0,0.0,1.0,1
1500,1686,80,46,16230000.0,435380000.0,1.0,4.0,1
1626,1030,56,184,197400000.0,850000.0,3.0,1.0,1
1731,1063,37,180,66550000.0,1430000.0,3.0,0.0,1
1241,1285,154,144,3280000.0,6980000.0,9.0,0.0,1
1629,860,55,204,514900000.0,1030000.0,3.0,0.0,1
1348,1270,120,146,11430000.0,1080000.0,1.0,1.0,1
1580,1286,64,143,220780000.0,8230000.0,3.0,1.0,1
1174,1030,164,184,375000.0,0.0,5.0,0.0,1
1707,1753,42,32,214000000.0,179080000.0,4.0,3.0,0
956,1344,192,122,200000.0,2580000.0,0.0,6.0,2
1538,1792,71,26,16300000.0,79800000.0,10.0,0.0,1
1004,1193,187,162,375000.0,18030000.0,0.0,3.0,1
1878,1705,15,44,368000000.0,143850000.0,9.0,6.0,1
1103,1259,174,150,375000.0,125000.0,0.0,4.0,1
1641,1438,50,95,41700000.0,79880000.0,6.0,0.0,1
1943,1551,12,68,833500000.0,38680000.0,6.0,3.0,1
1486,777,86,212,17700000.0,1120000.0,6.0,0.0,1
1341,1649,123,48,10530000.0,81750000.0,3.0,4.0,0
2030,1249,5,152,1620000000.0,14750000.0,7.0,0.0,1
1353,1202,118,159,7530000.0,9980000.0,3.0,0.0,1
1529,1347,73,121,41150000.0,17080000.0,8.0,0.0,1
1815,1530,23,72,317600000.0,114280000.0,5.0,3.0,0
1970,1613,9,58,766000000.0,144080000.0,3.0,3.0,1
1650,1596,48,61,97200000.0,86900000.0,7.0,1.0,1
1439,1108,94,172,14000000.0,3340000.0,4.0,0.0,1
1470,1697,89,45,40380000.0,199050000.0,3.0,3.0,0
1029,1140,185,166,650000.0,1180000.0,1.0,3.0,2
1349,1950,119,11,17530000.0,357300000.0,3.0,6.0,2
2123,1057,1,181,1470000000.0,1380000.0,9.0,0.0,1
1684,1311,47,136,108830000.0,13430000.0,9.0,1.0,1
1439,1287,95,142,34450000.0,12450000.0,3.0,0.0,1
2033,1637,3,52,1310000000.0,199050000.0,9.0,3.0,1
1587,1334,62,127,218080000.0,7100000.0,7.0,2.0,0
1321,1497,132,79,3250000.0,153500000.0,1.0,3.0,1
1326,1078,128,177,12600000.0,575000.0,12.0,1.0,1
1691,1365,46,111,435380000.0,7000000.0,0.0,1.0,1
2032,1478,4,88,968500000.0,74000000.0,9.0,0.0,1
955,1520,192,75,600000.0,32900000.0,0.0,4.0,2
1833,1549,19,69,210800000.0,60130000.0,6.0,1.0,1
1485,1661,86,48,133400000.0,130550000.0,3.0,9.0,2
1990,1497,8,79,558200000.0,16230000.0,5.0,3.0,1
1092,878,175,203,250000.0,325000.0,9.0,3.0,2
1800,1755,25,31,207830000.0,504000000.0,3.0,3.0,0
1802,1457,24,91,296500000.0,29750000.0,3.0,1.0,0
1642,1396,50,107,514900000.0,72280000.0,6.0,1.0,1
1256,1515,151,77,14150000.0,12050000.0,0.0,1.0,2
1311,1155,136,164,8230000.0,6100000.0,11.0,0.0,1
1710,1481,42,87,143850000.0,17700000.0,7.0,6.0,1
1413,911,101,198,41400000.0,575000.0,6.0,0.0,1
1614,1302,57,139,35700000.0,6980000.0,6.0,0.0,0
1001,800,188,209,125000.0,0.0,3.0,1.0,1
1491,1825,83,20,79880000.0,368000000.0,3.0,7.0,1
1567,2014,66,6,38680000.0,1620000000.0,1.0,3.0,0
1937,1850,12,16,833500000.0,288200000.0,9.0,7.0,0
1756,1338,32,125,179080000.0,10530000.0,4.0,4.0,1
1631,1264,54,148,81750000.0,4950000.0,9.0,0.0,0
1022,938,186,193,375000.0,200000.0,3.0,0.0,1
1765,1577,29,64,32400000.0,18700000.0,15.0,0.0,1
777,1641,212,51,1120000.0,41700000.0,0.0,3.0,2
1237,1487,157,83,9980000.0,14630000.0,0.0,4.0,1
1347,1846,119,17,7530000.0,456000000.0,6.0,0.0,2
1043,1384,184,108,850000.0,52200000.0,9.0,1.0,0
1257,1544,152,69,7580000.0,6100000.0,3.0,3.0,1
902,1104,200,172,1330000.0,1850000.0,4.0,1.0,2
1393,1731,105,37,29680000.0,474000000.0,6.0,2.0,0
1389,1144,107,167,23600000.0,1600000.0,6.0,0.0,0
831,1375,207,111,3440000.0,7700000.0,3.0,4.0,2
1348,1738,118,36,2049999.0,66550000.0,10.0,0.0,2
1053,1285,183,146,6430000.0,30580000.0,0.0,3.0,0
1640,1827,52,20,79280000.0,34680000.0,9.0,6.0,0
1341,1241,124,156,17080000.0,675000.0,1.0,1.0,0
1343,1422,123,100,3080000.0,74250000.0,8.0,1.0,1
1564,1299,66,142,121230000.0,2780000.0,2.0,0.0,1
1479,1255,87,154,53430000.0,1080000.0,4.0,1.0,1
1273,1548,147,68,3280000.0,220780000.0,9.0,1.0,1
910,1370,198,112,3130000.0,6850000.0,3.0,0.0,2
1706,1974,42,9,134450000.0,300500000.0,4.0,2.0,2
1262,1534,151,70,4800000.0,17930000.0,7.0,1.0,2
1370,1077,112,177,4350000.0,325000.0,9.0,3.0,1
1951,1469,11,89,357300000.0,40380000.0,4.0,4.0,1
1674,1791,48,26,97200000.0,317600000.0,10.0,5.0,1
1695,1765,45,29,199050000.0,522700000.0,3.0,6.0,0
1784,1409,27,102,51330000.0,7630000.0,6.0,1.0,1
1068,1222,179,158,3600000.0,2950000.0,3.0,1.0,0
1728,2109,38,2,315600000.0,1470000000.0,6.0,3.0,0
939,1300,194,141,7740000.0,6430000.0,9.0,2.0,0
1057,1970,181,10,1380000.0,766000000.0,0.0,6.0,2
1500,1469,77,89,114280000.0,14000000.0,5.0,2.0,2
1102,1602,173,61,3340000.0,86900000.0,1.0,1.0,2
1883,1700,15,44,366730000.0,72700000.0,4.0,0.0,1
2011,2139,6,1,908700000.0,761200000.0,4.0,6.0,2
2006,1611,7,59,362450000.0,19280000.0,6.0,0.0,1
1705,1617,43,56,129050000.0,53850000.0,7.0,4.0,2
1742,1761,35,31,28900000.0,62780000.0,0.0,1.0,0
1286,1147,145,165,125000.0,375000.0,4.0,3.0,1
1273,1011,147,186,1500000.0,650000.0,9.0,3.0,1
1147,816,165,208,1180000.0,0.0,4.0,1.0,1
1072,1061,178,180,0.0,375000.0,6.0,4.0,1
1799,1531,24,71,79800000.0,16300000.0,15.0,1.0,1
1332,1205,128,160,2580000.0,18030000.0,6.0,3.0,0
1301,446,140,240,450000.0,0.0,9.0,0.0,1
1135,1118,169,170,0.0,585000.0,0.0,3.0,0
1155,698,163,219,60000.0,350000.0,3.0,0.0,1
1220,1103,159,172,5200000.0,585000.0,12.0,4.0,1
1183,1107,162,170,60000.0,0.0,6.0,0.0,1
1203,1079,162,175,2450000.0,585000.0,4.0,4.0,1
1533,1297,70,142,17930000.0,6430000.0,6.0,3.0,1
1432,1633,96,53,7200000.0,79280000.0,3.0,3.0,0
1430,1382,98,111,12480000.0,7700000.0,0.0,7.0,0
1791,1259,26,152,51330000.0,4800000.0,9.0,3.0,1
1654,1398,50,104,514900000.0,41400000.0,9.0,1.0,1
1524,1075,72,178,31130000.0,3600000.0,3.0,0.0,1
1668,1381,48,112,108830000.0,30100000.0,12.0,7.0,0
1837,1403,18,103,34680000.0,7630000.0,6.0,1.0,1
1913,1376,13,113,263899999.0,6380000.0,6.0,3.0,1
1505,1511,77,75,53430000.0,220780000.0,7.0,1.0,1
1743,1385,35,108,474000000.0,72280000.0,3.0,1.0,1
1625,1253,55,154,19780000.0,30580000.0,3.0,4.0,1
1715,1425,39,99,227850000.0,52200000.0,7.0,2.0,0
1535,1283,69,145,16079999.0,7130000.0,0.0,3.0,1
1602,1455,60,93,197400000.0,74250000.0,6.0,1.0,0
1584,1384,63,110,121230000.0,23600000.0,5.0,0.0,1
1643,1455,51,92,35700000.0,41150000.0,7.0,0.0,1
1428,1689,99,46,2080000.0,66550000.0,3.0,3.0,1
1610,1544,59,68,27630000.0,6100000.0,3.0,3.0,1
1409,1245,103,155,6380000.0,7580000.0,4.0,0.0,1
1486,1491,84,82,153500000.0,14630000.0,6.0,4.0,0
1543,1372,69,113,17930000.0,7700000.0,9.0,8.0,1
1421,1306,101,136,12480000.0,6430000.0,1.0,2.0,0
1852,1342,16,123,456000000.0,7530000.0,3.0,1.0,1
1642,1250,51,153,79280000.0,4800000.0,10.0,3.0,1
1797,1426,25,98,51330000.0,7200000.0,12.0,0.0,1
1616,1599,57,63,514900000.0,218080000.0,12.0,1.0,2
1535,1372,70,112,12050000.0,41400000.0,7.0,1.0,1
1657,1522,49,73,108830000.0,220780000.0,13.0,1.0,0
1286,1343,143,121,30580000.0,6380000.0,3.0,3.0,1
1838,1074,18,178,34680000.0,3600000.0,9.0,0.0,1
1534,1352,72,115,53430000.0,30100000.0,10.0,8.0,1
1475,1365,88,113,74250000.0,72280000.0,3.0,1.0,1
1766,1579,29,64,474000000.0,197400000.0,6.0,1.0,1
1552,1795,67,25,16079999.0,142200000.0,3.0,3.0,0
1433,1267,97,148,6230000.0,7130000.0,3.0,3.0,1
1646,1686,51,46,35700000.0,66550000.0,10.0,3.0,0
1447,1362,94,113,52200000.0,23600000.0,8.0,0.0,1
1706,1593,40,63,227850000.0,121230000.0,8.0,0.0,0
1506,1832,78,20,153500000.0,456000000.0,7.0,3.0,0
1498,1385,81,107,41150000.0,2080000.0,10.0,2.0,1
1618,1237,56,156,27630000.0,7580000.0,6.0,0.0,1
1535,1418,70,102,6100000.0,6380000.0,7.0,3.0,0
1352,1481,115,87,7530000.0,14630000.0,6.0,5.0,0
1547,1604,70,61,514900000.0,12050000.0,12.0,4.0,2
1511,1363,77,112,220780000.0,30100000.0,6.0,5.0,0
1554,1410,67,103,17930000.0,12480000.0,12.0,3.0,1
1392,1286,106,142,7700000.0,6430000.0,2.0,3.0,1
1610,1361,59,115,218080000.0,41400000.0,8.0,1.0,1
1845,1509,17,77,34680000.0,31130000.0,12.0,4.0,1
1439,1237,96,155,7200000.0,4800000.0,4.0,3.0,1
1422,1063,101,179,7630000.0,3600000.0,1.0,0.0,1
1787,1652,27,50,51330000.0,79280000.0,15.0,4.0,0
1590,1354,63,115,197400000.0,72280000.0,7.0,1.0,1
1406,1662,105,48,23600000.0,227850000.0,7.0,3.0,1
1499,1541,81,71,52200000.0,121230000.0,11.0,1.0,1
1778,1463,28,92,474000000.0,74250000.0,9.0,2.0,1
1873,1284,15,144,263899999.0,30580000.0,9.0,4.0,1
1674,1336,45,126,19780000.0,6380000.0,9.0,3.0,1
1510,1674,77,45,41150000.0,66550000.0,10.0,4.0,0
1838,1475,18,89,456000000.0,14630000.0,6.0,6.0,1
1630,1401,55,106,35700000.0,2080000.0,11.0,2.0,0
1496,1362,83,113,153500000.0,7530000.0,8.0,1.0,0
1466,1519,92,73,6230000.0,16079999.0,6.0,1.0,1
1254,1518,153,74,7580000.0,6100000.0,6.0,3.0,0
1605,1431,60,100,27630000.0,6380000.0,9.0,4.0,0
1290,1772,141,28,7130000.0,142200000.0,6.0,4.0,0
1531,1369,71,111,52200000.0,2080000.0,11.0,2.0,1
1645,1555,52,65,218080000.0,197400000.0,11.0,1.0,1
1400,1501,106,81,7700000.0,31130000.0,5.0,4.0,0
1792,1279,25,146,51330000.0,30580000.0,13.0,4.0,1
1498,1569,83,63,74250000.0,12050000.0,6.0,7.0,1
1506,1639,79,53,153500000.0,108830000.0,9.0,1.0,0
1564,1412,65,102,17930000.0,7630000.0,15.0,1.0,1
1554,1639,69,52,16079999.0,19780000.0,4.0,5.0,1
1556,1769,67,28,514900000.0,474000000.0,9.0,3.0,0
1558,1390,66,107,53430000.0,23600000.0,11.0,0.0,1
1649,1522,50,74,35700000.0,121230000.0,9.0,1.0,1
1575,1773,63,26,41150000.0,456000000.0,8.0,4.0,1
1663,1420,47,101,79280000.0,6380000.0,10.0,5.0,1
1616,1761,58,30,27630000.0,142200000.0,10.0,5.0,0
1880,1459,15,94,263899999.0,6230000.0,12.0,0.0,1
1824,1460,20,93,34680000.0,7200000.0,15.0,0.0,0
1662,1514,48,77,218080000.0,52200000.0,11.0,3.0,1
1543,1461,72,92,153500000.0,74250000.0,7.0,2.0,1
1569,1385,64,108,16079999.0,7700000.0,7.0,7.0,1
1580,1625,63,56,514900000.0,35700000.0,7.0,3.0,1
1564,1663,68,47,17930000.0,79280000.0,15.0,5.0,0
1853,1851,15,16,34680000.0,263899999.0,13.0,0.0,1
1559,1574,69,64,53430000.0,41150000.0,13.0,0.0,0
1627,1730,56,36,16079999.0,142200000.0,10.0,6.0,1
1596,1527,64,72,514900000.0,153500000.0,7.0,3.0,1
1601,1816,63,20,17930000.0,34680000.0,13.0,7.0,1
1656,1580,50,66,218080000.0,41150000.0,11.0,1.0,0
1631,1597,55,63,17930000.0,16079999.0,13.0,1.0,1
1531,1576,72,66,153500000.0,41150000.0,7.0,2.0,0
1618,1634,58,54,514900000.0,218080000.0,7.0,4.0,1
1263,886,152,201,1080000.0,860000.0,3.0,0.0,1
1264,913,150,197,14150000.0,575000.0,0.0,0.0,1
496,726,238,215,10000.0,350000.0,3.0,0.0,2
1715,1621,38,57,199050000.0,41700000.0,4.0,6.0,1
1526,1284,74,144,6100000.0,7130000.0,8.0,3.0,1
1417,938,102,194,7630000.0,7740000.0,4.0,1.0,1
1467,1073,91,177,74250000.0,585000.0,9.0,4.0,1
830,1598,207,63,3440000.0,16079999.0,3.0,1.0,2
1115,1563,170,68,3340000.0,41150000.0,1.0,3.0,0
1621,1380,57,108,27630000.0,7700000.0,11.0,7.0,1
912,1267,198,149,1920000.0,7580000.0,6.0,0.0,2
1128,1400,169,103,4380000.0,12480000.0,3.0,3.0,0
927,1443,196,96,3130000.0,7200000.0,3.0,1.0,0
1638,1333,53,126,17930000.0,4350000.0,13.0,2.0,1
1564,1268,67,148,53430000.0,1500000.0,11.0,4.0,1
1503,1102,81,172,31130000.0,1850000.0,6.0,4.0,1
1826,1733,19,36,79800000.0,32400000.0,15.0,8.0,1
1713,1437,40,99,142200000.0,6380000.0,9.0,5.0,0
