date,home_team,away_team,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2026-07-18,England,France,World Cup,the United States,2074,2121,4,3
2026-07-19,Argentina,Spain,World Cup,the United States,2200,2232,2,1
2026-09-23,Iraq,Oman,Gulf Cup,Saudi Arabia,1561,1480,72,83
